Target,MAE,MSE,MAE_Exact,Weekly_ROI,Week_Forecast
0.45588,1.2440483235613553,2.9746332439148233,1.5376183823732743,"[-0.6760442, -1.6997628, -0.70676756, -1.1174953, -0.7019913, -0.2871682, 0.19104832, 1.1068352, 0.520238, 0.57120097, 0.76344526, 0.57468146, 0.87741864, 0.7755523, 0.9516579, 1.0220561, 0.911458, 1.0019889, 0.9008941, 0.8744225, 0.85759664, 0.7999115, 0.81487805, 0.78193617, 0.77433765, 0.7712687, 0.73848826, 0.7309866, 0.70168763, 0.6781199, 0.65828747, 0.62999386, 0.6138908, 0.59225214, 0.5738906, 0.55847836, 0.539477, 0.5243936, 0.50685835, 0.48972026, 0.47351766, 0.45588008]",[3.644295  2.5777464 2.936639  ... 2.7615287 3.331403  0.7014714]
1.10179,1.2259503426578928,2.9510199839686213,1.4914154843224523,"[-0.09528429, -0.079681076, -0.10409513, -0.025536934, 0.54113156, -0.16039196, -0.6333343, -0.24522832, -0.03823243, -0.4114392, -0.21860476, 0.058181323, -0.0016968697, -0.0013420656, 0.091011934, 0.20145091, 0.017325839, 0.14208357, 0.22446279, 0.2854061, 0.31022486, 0.34976393, 0.42945912, 0.44370666, 0.49042293, 0.5066351, 0.53378004, 0.5608091, 0.58508176, 0.62296075, 0.6552493, 0.6962852, 0.73615974, 0.7781779, 0.8207239, 0.860873, 0.9018875, 0.9410831, 0.9808735, 1.0204381, 1.0605481, 1.1017894]",[3.5287964 2.9559722 2.7615585 ... 3.0958176 3.504018  0.284375 ]
-0.73544,1.2635239308092854,3.1125670954912947,1.6126903501107035,"[-0.9301443, -1.1706939, -1.171556, -1.3164972, -1.2085614, -1.1528666, -0.8764928, -0.42498168, -0.644811, -0.4628021, -0.38543907, -0.3742914, -0.20795305, -0.299963, -0.2815278, -0.24196158, -0.32160583, -0.27563223, -0.31782243, -0.3416727, -0.34396702, -0.37825254, -0.3700357, -0.40408048, -0.41746113, -0.4309999, -0.46210554, -0.46840304, -0.49506155, -0.5142326, -0.5317392, -0.5566215, -0.5708233, -0.5947883, -0.61221236, -0.63037694, -0.65174246, -0.6664941, -0.68630725, -0.7025039, -0.7184743, -0.7354414]",[3.6944475  2.6359704  2.5867538  ... 2.789814   3.7071872  0.43170208]
0.34783,1.2020350297455553,2.8704352749015034,1.5479016499226088,"[-1.1254134, -0.37728986, -0.16032578, -0.908429, -0.8753068, -0.59768325, -0.02736285, 0.05323872, 0.2905386, 0.5566369, 0.37176093, 0.43242037, 0.3951439, 0.34181708, 0.35150993, 0.17633636, 0.29175738, 0.2858552, 0.29079464, 0.3060892, 0.30459443, 0.30747658, 0.30293438, 0.30780768, 0.30090898, 0.31275028, 0.31554112, 0.31650868, 0.32120183, 0.32242972, 0.32509965, 0.32710916, 0.33017796, 0.33154336, 0.3343024, 0.33661953, 0.3383056, 0.34060693, 0.3423992, 0.34426457, 0.34602773, 0.34783283]","[ 3.7124927   2.6271365   2.8747616  ...  2.9861953   3.798054
 -0.32863462]"
-0.5068,1.26131110522406,3.060517484935458,1.647722026403123,"[-1.1849606, -1.0954634, -1.2726947, -1.1611159, -0.843277, -0.16594693, 0.4945822, 0.63811356, 0.2906106, 0.4724759, 0.2928912, 0.2401293, 0.10951788, 0.041259617, -0.022786673, -0.036253348, 0.0030579492, 0.026703337, -0.1207448, -0.027963465, -0.09895485, -0.119265184, -0.1632352, -0.19213584, -0.19761172, -0.22849718, -0.25877044, -0.2759552, -0.30274045, -0.31870878, -0.35150284, -0.36909083, -0.38593632, -0.40301922, -0.4197214, -0.43550622, -0.44797546, -0.46061078, -0.47481126, -0.4863235, -0.49751055, -0.50679594]",[3.6604807  2.6786766  2.9091077  ... 3.0067081  3.100263   0.33472726]
-1.27076,1.286444174480004,3.118378746134849,1.7262731245860103,"[-1.0662035, -1.1742911, -0.56898856, 0.14048374, 0.12539603, -0.019784924, 0.20078996, -0.3786512, -1.0264544, -1.1578414, -1.0075189, -1.1391842, -0.9461756, -0.96552336, -0.9635203, -0.97526175, -0.7982094, -0.8060592, -0.959235, -0.9549301, -0.956428, -1.0422183, -0.99567825, -1.0282086, -1.0694166, -1.1097311, -1.0761403, -1.0791124, -1.1373544, -1.1268882, -1.1332948, -1.1808355, -1.1691985, -1.1813856, -1.2038952, -1.2254233, -1.2220782, -1.226611, -1.2529665, -1.2476854, -1.2496684, -1.2707556]",[3.4140942  2.6940897  2.691418   ... 3.012586   3.4717143  0.11898572]
-0.66086,1.2712573407188466,3.065721143007621,1.6779502398375568,"[0.29954287, -0.508597, -0.9857441, -0.1344316, 0.1129258, -0.47722802, -0.3162809, -0.36327755, -1.124877, -1.0337956, -0.95744133, -1.1435786, -1.2836614, -1.0770565, -0.9087931, -1.0404689, -1.0718923, -0.98682547, -1.0617412, -1.0498536, -1.0464431, -1.040182, -1.0311103, -0.9867133, -0.93113375, -0.93757623, -0.9142559, -0.8743635, -0.86603767, -0.8534407, -0.8422288, -0.8214042, -0.80588734, -0.7883422, -0.76601404, -0.7535564, -0.73471063, -0.7157664, -0.70203686, -0.6888066, -0.6759936, -0.66085905]",[3.559423  2.8040202 2.5391483 ... 3.2970166 3.339024  0.3318008]
-2.84367,1.2658443426197583,3.1119706380423207,1.634996959088374,"[-1.2246052, -1.2214247, -1.3678902, -0.45186138, -0.090889744, -0.15706682, -0.76857084, -0.09089206, 0.057955027, 0.1020488, 0.14285134, -0.27781925, -0.5732999, -0.45975137, -0.73732847, -0.7420688, -0.90485024, -0.83298135, -0.91132754, -0.9796008, -1.0583646, -1.0973835, -1.3111421, -1.3498935, -1.5012691, -1.5812424, -1.7388616, -1.8085332, -1.938222, -2.0154033, -2.147454, -2.1910548, -2.3116279, -2.367526, -2.4633224, -2.5071664, -2.599134, -2.6385503, -2.7143738, -2.746114, -2.8181803, -2.8436682]",[3.4092822  2.5955808  2.7373908  ... 3.2574706  3.192183   0.27044597]
-0.61161,1.2413362307508988,2.9881109677865827,1.7158019831241824,"[-0.33995807, -0.4169893, -0.0012551453, 0.44217128, 0.5970927, 0.9528589, 0.89033854, 0.39784136, 0.49961814, 0.765938, 0.65989673, 0.78290766, 0.69664013, 0.646812, 0.6723486, 0.5924031, 0.5393817, 0.52811146, 0.4733009, 0.43780813, 0.39972588, 0.34756815, 0.30781457, 0.2655707, 0.21939692, 0.16889857, 0.1189697, 0.0647436, -0.001109058, -0.061624765, -0.13434634, -0.16510178, -0.18369089, -0.20502569, -0.24254662, -0.30974832, -0.37111712, -0.42902628, -0.47429374, -0.52294075, -0.57062095, -0.61161333]",[3.6249971 2.5550196 2.9204254 ... 3.3783998 3.3090358 0.8083506]
0.46522,1.222801840417067,2.9110869631933327,1.6174426818097276,"[0.21547358, 0.3236497, 0.31297994, 0.62874347, 0.79623985, 1.1424187, 1.4886395, 1.3442885, 0.9917679, 0.9222248, 1.2040733, 1.1508483, 1.1439689, 1.1529608, 1.0982397, 1.0796325, 1.0954324, 1.0614134, 1.003589, 0.9883093, 0.9720232, 0.9326114, 0.91176647, 0.8870348, 0.8526797, 0.8271768, 0.80504274, 0.77599674, 0.74855447, 0.72587305, 0.70048785, 0.6752227, 0.6530737, 0.6298923, 0.6065624, 0.58524257, 0.5641918, 0.5428953, 0.52277225, 0.50333184, 0.4838944, 0.46521944]",[3.6943545 2.8393428 2.7772074 ... 3.2691922 3.5957403 0.4199803]
