Target,MAE,MSE,MAE_Exact,Weekly_ROI,Week_Forecast
0.78355,1.2092597923245347,2.8642417184827025,1.5164585632661125,"[-0.58118486, -0.65244764, -0.62451434, -0.6373383, -0.61038196, -0.5443182, -0.41038468, -0.20190953, 0.020128824, 0.21369359, 0.3846919, 0.53514934, 0.6780421, 0.8145882, 0.9363412, 1.037506, 1.1109974, 1.1493773, 1.148646, 1.117677, 1.0635096, 0.9902996, 0.902204, 0.80475616, 0.704165, 0.60640985, 0.5170299, 0.4409787, 0.381961, 0.34260753, 0.32471225, 0.32828873, 0.35154358, 0.3913005, 0.44330016, 0.50346726, 0.56696844, 0.62892526, 0.6847965, 0.7307906, 0.7639773, 0.7835479]",[3.3257983 2.6214633 2.5239613 ... 2.9867616 3.0910776 0.5793775]
-0.67,1.200605860660228,2.8315172160616715,1.559875919327883,"[-0.60625607, -0.7873552, -0.8739379, -0.9824308, -1.0518734, -1.0919666, -1.1094567, -1.1276759, -1.1324288, -1.1020875, -1.0746444, -1.0445795, -1.0078919, -0.96824473, -0.92662346, -0.8848229, -0.8439135, -0.80473274, -0.7680399, -0.73468137, -0.7050398, -0.67923295, -0.65744525, -0.6396973, -0.62587464, -0.6157642, -0.60906744, -0.6054296, -0.6044544, -0.6057241, -0.6088155, -0.6133207, -0.61885273, -0.62505656, -0.63161635, -0.6382581, -0.6447533, -0.6509173, -0.65660834, -0.6617245, -0.6662005, -0.67000246]",[3.5367122  2.9181337  2.661648   ... 3.165534   3.2405849  0.96861136]
0.025,1.2543950766547705,2.9577008222952617,1.5693929018429469,"[-0.73275673, -0.8378494, -0.8392104, -0.8978787, -0.94415295, -0.9924437, -1.0393368, -1.0672122, -1.0412779, -1.0053174, -0.9822044, -0.9552289, -0.9301916, -0.9039868, -0.8772279, -0.84934, -0.8203225, -0.79018205, -0.75912446, -0.72698146, -0.69372267, -0.6594572, -0.62417865, -0.5879652, -0.5508665, -0.51295984, -0.47432476, -0.43505368, -0.3952471, -0.35501707, -0.3144824, -0.27395454, -0.23438542, -0.19633272, -0.16030727, -0.12671994, -0.09629771, -0.06699938, -0.038272515, -0.012615956, 0.009389743, 0.025000498]",[3.1050243  2.38386    2.3066795  ... 3.1431675  3.039235   0.48176962]
-1.28431,1.1819011799203694,2.8049909825969697,1.493951562235917,"[-0.54786867, -0.5011945, -0.4684407, -0.49589998, -0.53741896, -0.5843805, -0.63352406, -0.68672943, -0.72463095, -0.7648432, -0.81273407, -0.85041976, -0.88614213, -0.9185317, -0.9484624, -0.9760768, -1.0015867, -1.0251678, -1.0470698, -1.0672727, -1.085957, -1.1033703, -1.1195363, -1.1345803, -1.1485813, -1.1616235, -1.1737801, -1.1851181, -1.1956983, -1.2055765, -1.2148037, -1.2234249, -1.2314845, -1.2390211, -1.246071, -1.2526684, -1.258843, -1.2646241, -1.2700384, -1.2751098, -1.2798615, -1.2843144]",[3.6087272 2.9451017 2.7522728 ... 3.0957305 3.137655  0.7172925]
-0.44122,1.182725662469286,2.8151737358985782,1.5531400865210825,"[-0.6223073, -0.7007027, -0.7420445, -0.84103936, -0.9329541, -0.9936588, -0.99045396, -0.9436097, -0.89729315, -0.8482913, -0.79898727, -0.7502086, -0.7031072, -0.6591984, -0.6191928, -0.58340436, -0.55183876, -0.5244075, -0.5010432, -0.48155397, -0.46567643, -0.45308584, -0.44344962, -0.4363944, -0.43153825, -0.42850566, -0.42694104, -0.42652312, -0.42696363, -0.4280023, -0.42941898, -0.4310336, -0.43270454, -0.43432567, -0.43582246, -0.4371472, -0.4382776, -0.43921068, -0.43995377, -0.44052285, -0.44093794, -0.44122225]",[3.579515   3.0109596  2.7467961  ... 2.9286556  3.1203203  0.81948394]
-0.71734,1.2149037439825994,2.849546162321411,1.49510460085549,"[-0.8270421, -0.96716017, -1.0766221, -1.2255989, -1.3397732, -1.4008051, -1.386219, -1.3253906, -1.2191234, -1.1281283, -1.0398903, -0.9569276, -0.8871223, -0.8312144, -0.7895447, -0.7602916, -0.7411547, -0.7294491, -0.723072, -0.720028, -0.7190872, -0.71917474, -0.7196134, -0.7200382, -0.7202762, -0.72028846, -0.7200926, -0.71975, -0.7193278, -0.7188878, -0.71847564, -0.7181206, -0.71783596, -0.71762353, -0.71747667, -0.7173843, -0.7173336, -0.7173124, -0.7173102, -0.717318, -0.71733093, -0.71734375]",[3.2719576 2.6091025 2.4662902 ... 3.0260715 3.0142722 0.3639039]
0.5496,1.1892440024573891,2.8108821187098156,1.5147841464767844,"[-0.19502005, -0.18737331, -0.14261886, -0.10632768, -0.0694327, -0.030086234, 0.0016534072, 0.053057738, 0.18256934, 0.2930967, 0.38455617, 0.4674245, 0.54002756, 0.6014112, 0.65115243, 0.6889032, 0.7149246, 0.7285949, 0.7305888, 0.72213066, 0.7054329, 0.6823803, 0.6549516, 0.62520295, 0.5948603, 0.5654798, 0.5384297, 0.51481473, 0.49545464, 0.48085108, 0.47118872, 0.4663601, 0.46601385, 0.46962976, 0.47649145, 0.48576996, 0.49664143, 0.5083003, 0.5200083, 0.5311232, 0.54111946, 0.5496003]",[3.3782434  2.6256273  2.5262854  ... 2.970084   3.0937006  0.80315477]
-1.30431,1.1890377917733308,2.835290612211417,1.5130288627646022,"[-0.64083135, -0.8053192, -0.8269441, -0.93945086, -1.0338174, -1.1274995, -1.1992111, -1.2595136, -1.2928548, -1.3100071, -1.3303852, -1.3411642, -1.3502465, -1.3550003, -1.3576477, -1.3581567, -1.3573482, -1.3554513, -1.3529707, -1.3501234, -1.3469756, -1.3437438, -1.3404648, -1.3372431, -1.3341118, -1.3311154, -1.3282721, -1.3255984, -1.3230991, -1.320776, -1.3186274, -1.3166475, -1.3148301, -1.3131661, -1.3116478, -1.3102648, -1.3090085, -1.307869, -1.3068376, -1.3059053, -1.3050638, -1.3043052]",[3.6200824 2.9451463 2.7709985 ... 3.085753  3.163341  0.9486129]
-0.39035,1.188289622732779,2.837356870448296,1.492640077101065,"[-0.9983467, -1.097181, -1.0705765, -1.0256864, -0.9551029, -0.8851932, -0.83824843, -0.8135108, -0.78462064, -0.7411524, -0.70032054, -0.66368985, -0.6294111, -0.5986775, -0.571335, -0.5475468, -0.5268586, -0.50861967, -0.49240267, -0.47812328, -0.4656428, -0.45474213, -0.4452557, -0.4370281, -0.42991048, -0.42376333, -0.4184572, -0.41387987, -0.4099363, -0.40654296, -0.4036256, -0.40111977, -0.39896905, -0.39712447, -0.395572, -0.39427996, -0.39321843, -0.39235574, -0.39166307, -0.3911129, -0.39068145, -0.39034754]",[3.418803   2.788279   2.541473   ... 3.0411325  3.1416101  0.58079016]
-0.08415,1.1811936227830913,2.8249604117468916,1.4972400000585848,"[-0.7387184, -0.7183764, -0.61208063, -0.54730004, -0.4988712, -0.49204522, -0.53555554, -0.5771402, -0.5350156, -0.46780524, -0.41291252, -0.3570467, -0.30774143, -0.26407078, -0.22729024, -0.1968221, -0.17156765, -0.15025212, -0.13207446, -0.11637752, -0.1028579, -0.09251959, -0.08536934, -0.08130206, -0.079649165, -0.079646036, -0.08055614, -0.081796005, -0.082973644, -0.08388843, -0.0844957, -0.08480966, -0.08488522, -0.08480373, -0.08464412, -0.08446814, -0.08431585, -0.08420662, -0.08414416, -0.084121384, -0.08412662, -0.084147595]",[3.6563473 2.953273  2.8120246 ... 3.0515633 3.1700861 0.6756694]
